SOLVER_HANDLE,PROBLEM_ID,TITLE_NM,TAGS_NM,SOLVED_LVL,HASH_ID
siasia212,1000,A+B,impl arithmetic math,1,1000
siasia212,1001,A-B,impl arithmetic math,1,1001
siasia212,1002,터렛,math geom case_work,8,1002
siasia212,1003,피보나치 함수,dp,8,1003
siasia212,1008,A/B,impl arithmetic math,1,1008
siasia212,1010,다리 놓기,math dp combinatorics,6,1010
siasia212,1011,Fly me to the Alpha Centauri,math,11,1011
siasia212,1012,유기농 배추,graph traversal bfs dfs grid_graph ff,9,1012
siasia212,1015,수열 정렬,sorting,7,1015
siasia212,1016,제곱 ㄴㄴ 수,math number_theory primality_test eratosthenes,15,1016
siasia212,1018,체스판 다시 칠하기,impl bruteforce,7,1018
siasia212,1019,책 페이지,math impl,16,1019
siasia212,1021,회전하는 큐,ds deque,8,1021
siasia212,1037,약수,math number_theory,5,1037
siasia212,1038,감소하는 수,bruteforce backtrack,11,1038
siasia212,1064,평행사변형,math geom pythagoras_thm,7,1064
siasia212,1069,집으로,ad-hoc geom case_work,13,1069
siasia212,1071,소트,greedy,16,1071
siasia212,1074,Z,d&c recursion,11,1074
siasia212,1085,직사각형에서 탈출,math geom,3,1085
siasia212,1094,막대기,math bitmask,6,1094
siasia212,1100,하얀 칸,impl string,4,1100
siasia212,1105,팔,math greedy,10,1105
siasia212,1145,적어도 대부분의 배수,bruteforce,5,1145
siasia212,1149,RGB거리,dp,10,1149
siasia212,1152,단어의 개수,impl string,4,1152
siasia212,1157,단어 공부,impl string,5,1157
siasia212,1158,요세푸스 문제,impl ds queue,7,1158
siasia212,1181,단어 정렬,string sorting,6,1181
siasia212,1189,컴백홈,graph bruteforce traversal dfs backtrack grid_graph,10,1189
siasia212,1193,분수찾기,math impl,6,1193
siasia212,1202,보석 도둑,ds greedy sorting priority_queue,14,1202
siasia212,1214,쿨한 물건 구매,math bruteforce number_theory,16,1214
siasia212,1247,부호,math arithmetic arbitrary_precision_/_big_integers,3,1247
siasia212,1259,팰린드롬수,impl string,5,1259
