SOLVER_HANDLE,PROBLEM_ID,TITLE_NM,TAGS_NM,SOLVED_LVL,HASH_ID
evenharder,1000,A+B,impl arithmetic math,1,1000
evenharder,1001,A-B,impl arithmetic math,1,1001
evenharder,1002,터렛,math geom case work,8,1002
evenharder,1003,피보나치 함수,dp,8,1003
evenharder,1004,어린 왕자,math geom,8,1004
evenharder,1005,ACM Craft,dp graph dag topological sorting,13,1005
evenharder,1006,습격자 초라기,dp,18,1006
evenharder,1007,벡터 매칭,math bruteforce,14,1007
evenharder,1008,A/B,impl arithmetic math,1,1008
evenharder,1009,분산처리,math impl,4,1009
evenharder,1010,다리 놓기,math dp combinatorics,6,1010
evenharder,1011,Fly me to the Alpha Centauri,math,11,1011
evenharder,1012,유기농 배추,graph traversal bfs dfs grid graph ff,9,1012
evenharder,1013,Contact,string regex,11,1013
evenharder,1014,컨닝,bitmask dp flow bitfield dp graph,17,1014
evenharder,1015,수열 정렬,sorting,7,1015
evenharder,1016,제곱 ㄴㄴ 수,math number theory primality test eratosthenes,15,1016
evenharder,1017,소수 쌍,math number theory primality test eratosthenes bipartite matching,18,1017
evenharder,1018,체스판 다시 칠하기,impl bruteforce,7,1018
evenharder,1019,책 페이지,math impl,16,1019
evenharder,1020,디지털 카운터,dp,19,1020
evenharder,1021,회전하는 큐,ds deque,8,1021
evenharder,1022,소용돌이 예쁘게 출력하기,math impl,13,1022
evenharder,1023,괄호 문자열,math dp combinatorics,18,1023
evenharder,1024,수열의 합,math,9,1024
evenharder,1025,제곱수 찾기,bruteforce,11,1025
evenharder,1026,보물,math greedy sorting,7,1026
evenharder,1027,고층 건물,math bruteforce geom,12,1027
evenharder,1028,다이아몬드 광산,dp prefix sum,16,1028
evenharder,1029,그림 교환,dp bitmask bitfield dp,15,1029
evenharder,1030,프렉탈 평면,impl d&c recursion,13,1030
evenharder,1032,명령 프롬프트,impl string,5,1032
evenharder,1033,칵테일,math graph traversal number theory euclidean algorithm,14,1033
evenharder,1034,램프,bruteforce ad-hoc parity,12,1034
evenharder,1036,36진수,math impl greedy string arbitrary precision / big integers,14,1036
evenharder,1037,약수,math number theory,5,1037
evenharder,1038,감소하는 수,bruteforce backtrack,11,1038
evenharder,1039,교환,graph traversal bfs,14,1039
evenharder,1040,정수,dp greedy bitmask digit dp,19,1040
evenharder,1041,주사위,math impl greedy,11,1041
evenharder,1043,거짓말,graph ds traversal dsu,12,1043
evenharder,1046,그림자,impl sorting geom sweeping line segment intersection check angle sorting,23,1046
evenharder,1049,기타줄,math greedy,7,1049
evenharder,1052,물병,math greedy bitmask,11,1052
evenharder,1057,토너먼트,math bruteforce,7,1057
evenharder,1058,친구,graph bruteforce traversal set shortest path floyd–warshall,9,1058
evenharder,1059,좋은 구간,math bruteforce sorting,7,1059
evenharder,1064,평행사변형,math geom pythagoras thm,7,1064
evenharder,1065,한수,math bruteforce,7,1065
evenharder,1067,이동,math fft,20,1067
evenharder,1068,트리,graph traversal tree dfs,11,1068
evenharder,1072,게임,math binary search,8,1072
evenharder,1074,Z,d&c recursion,11,1074
evenharder,1075,나누기,math bruteforce,4,1075
evenharder,1076,저항,impl,4,1076
evenharder,1078,뒤집음,math bruteforce,20,1078
evenharder,1080,행렬,greedy,10,1080
evenharder,1081,합,math,15,1081
evenharder,1082,방 번호,dp greedy,13,1082
evenharder,1085,직사각형에서 탈출,math geom,3,1085
evenharder,1092,배,greedy sorting,11,1092
evenharder,1094,막대기,math bitmask,6,1094
evenharder,1095,마법의 구슬,math number theory primality test eratosthenes,16,1095
evenharder,1100,하얀 칸,impl string,4,1100
evenharder,1102,발전소,dp bitmask bitfield dp,16,1102
evenharder,1107,리모컨,bruteforce,12,1107
evenharder,1110,더하기 사이클,math impl,5,1110
evenharder,1120,문자열,string bruteforce,7,1120
evenharder,1126,같은 탑,dp,18,1126
evenharder,1149,RGB거리,dp,10,1149
evenharder,1150,백업,ds greedy priority queue,22,1150
evenharder,1152,단어의 개수,impl string,4,1152
evenharder,1154,팀 편성,graph traversal bipartite graph,16,1154
evenharder,1157,단어 공부,impl string,5,1157
evenharder,1158,요세푸스 문제,impl ds queue,7,1158
evenharder,1159,농구 경기,impl string,4,1159
evenharder,1167,트리의 지름,graph traversal tree dfs tree diameter,14,1167
evenharder,1173,운동,impl simulation,4,1173
evenharder,1181,단어 정렬,string sorting,6,1181
evenharder,1182,부분수열의 합,bruteforce backtrack,9,1182
evenharder,1187,숫자 놀이,math constructive d&c pigeonhole,21,1187
evenharder,1193,분수찾기,math impl,6,1193
evenharder,1197,최소 스패닝 트리,mst graph,12,1197
